Participant	time	First_Gen	Gender	Ethnicity	Genie_used	RecitationPair_Time	score
ST237	.pre_recitation	N	F	W	Genie	Pair1_700	0.681818182
ST244	.pre_recitation	N	F	W	Genie	Pair1_130	0.727272727
ST245	.pre_recitation	N	F	W	Genie	Pair1_700	0.681818182
ST249	.pre_recitation	N	F	W	Genie	Pair1_130	1
ST256	.pre_recitation	Y	M	W	Genie	Pair2_700	0.909090909
ST1	post_recitation	N	F	W	Genie	Pair1_130	0.954545455
ST5	post_recitation	N	M	W	Genie	Pair2_700	1
ST11	post_recitation	N	F	W	Genie	Pair2_130	1
ST12	post_recitation	N	F	W	Genie	Pair2_130	0.863636364
ST13	post_recitation	N	F	W	Genie	Pair2_130	1
ST16	post_recitation	N	F	W	Genie	Pair1_700	0.590909091
ST26	post_recitation	N	F	W	Genie	Pair2_130	0.863636364
ST30	post_recitation	Y	F	W	Genie	Pair2_130	0.818181818
ST31	post_recitation	N	F	W	Genie	Pair1_130	0.818181818
ST33	post_recitation	N	M	W	Genie	Pair1_130	1
ST35	post_recitation	N	F	W	Genie	Pair1_700	1
ST36	post_recitation	N	F	W	Genie	Pair2_130	0.909090909
ST37	post_recitation	N	M	W	Genie	Pair2_700	0.909090909
ST44	post_recitation	N	F	W	Genie	Pair1_700	0.545454545
ST46	post_recitation	N	F	W	Genie	Pair2_130	1
ST48	post_recitation	N	M	W	Genie	Pair2_700	1
ST57	post_recitation	N	M	W	Genie	Pair2_130	1
ST58	post_recitation	Y	M	W	Genie	Pair2_130	0.909090909
ST60	post_recitation	N	F	W	Genie	Pair1_700	1
ST62	post_recitation	N	F	W	Genie	Pair1_130	1
ST64	post_recitation	N	M	W	Genie	Pair1_700	0.909090909
ST70	post_recitation	N	M	W	Genie	Pair2_130	0.954545455
ST72	post_recitation	N	F	W	Genie	Pair1_700	1
ST75	post_recitation	N	F	W	Genie	Pair2_700	0.818181818
ST77	post_recitation	N	F	W	Genie	Pair1_130	0.954545455
ST79	post_recitation	N	F	W	Genie	Pair2_130	1
ST80	post_recitation	N	F	W	Genie	Pair1_700	0.954545455
ST85	post_recitation	N	M	W	Genie	Pair1_700	0.909090909
ST94	post_recitation	N	F	W	Genie	Pair1_130	0.954545455
ST98	post_recitation	N	M	W	Genie	Pair2_700	0.863636364
ST101	post_recitation	N	F	W	Genie	Pair2_130	0.863636364
ST104	post_recitation	N	M	W	Genie	Pair2_130	1
ST109	post_recitation	Y	F	W	Genie	Pair1_700	0.818181818
ST112	post_recitation	N	M	W	Genie	Pair2_700	0.409090909
ST114	post_recitation	N	F	W	Genie	Pair1_130	0.636363636
ST119	post_recitation	N	F	W	Genie	Pair2_130	1
ST122	post_recitation	N	F	W	Genie	Pair1_700	0.636363636
ST127	post_recitation	N	F	W	Genie	Pair1_700	1
ST135	post_recitation	N	F	W	Genie	Pair1_700	0.727272727
ST136	post_recitation	N	F	W	Genie	Pair1_700	1
ST141	post_recitation	N	F	W	Genie	Pair2_130	0.954545455
ST143	post_recitation	N	F	W	Genie	Pair2_700	1
