year	instruction	class	student	score	
Post-recitation_score_2016	Genie	Pair1_430	ST53	0.454545455	
Post-recitation_score_2016	Genie	Pair2_430	ST54	0.5	
Post-recitation_score_2016	Genie	Pair1_730	ST55	0.5	
Post-recitation_score_2016	Genie	Pair2_430	ST56	0.5	
Post-recitation_score_2016	Genie	Pair2_430	ST57	0.5	
Post-recitation_score_2016	Genie	Pair2_600	ST58	0.545454545	
Post-recitation_score_2016	Genie	Pair2_430	ST59	0.545454545	
Post-recitation_score_2016	Genie	Pair1_600	ST60	0.545454545	
Post-recitation_score_2016	Genie	Pair1_430	ST61	0.545454545	
Post-recitation_score_2016	Genie	Pair1_430	ST62	0.545454545	
Post-recitation_score_2016	Genie	Pair1_430	ST63	0.590909091	
Post-recitation_score_2016	Genie	Pair1_430	ST64	0.590909091	
Post-recitation_score_2016	Genie	Pair2_300	ST65	0.590909091	
Post-recitation_score_2016	Genie	Pair2_730	ST66	0.590909091	
Post-recitation_score_2016	Genie	Pair2_300	ST67	0.590909091	
Post-recitation_score_2016	Genie	Pair1_430	ST68	0.590909091	
Post-recitation_score_2016	Genie	Pair2_600	ST69	0.590909091	
Post-recitation_score_2016	Genie	Pair1_300	ST70	0.590909091	
Post-recitation_score_2016	Genie	Pair2_730	ST71	0.590909091	
Post-recitation_score_2016	Genie	Pair1_730	ST72	0.636363636	
Post-recitation_score_2016	Genie	Pair2_730	ST73	0.636363636	
Post-recitation_score_2016	Genie	Pair1_430	ST74	0.636363636	
Post-recitation_score_2016	Genie	Pair2_430	ST75	0.636363636	
Post-recitation_score_2016	Genie	Pair1_430	ST76	0.636363636	
Post-recitation_score_2016	Genie	Pair2_600	ST77	0.636363636	
Post-recitation_score_2016	Genie	Pair1_600	ST78	0.636363636	
Post-recitation_score_2016	Genie	Pair2_730	ST79	0.636363636	
Post-recitation_score_2016	Genie	Pair2_300	ST80	0.681818182	
Post-recitation_score_2016	Genie	Pair2_300	ST81	0.681818182	
Post-recitation_score_2016	Genie	Pair2_430	ST82	0.681818182	
Post-recitation_score_2016	Genie	Pair1_730	ST83	0.681818182	
Post-recitation_score_2016	Genie	Pair1_430	ST84	0.681818182	
Post-recitation_score_2016	Genie	Pair2_300	ST85	0.681818182	
Post-recitation_score_2016	Genie	Pair1_300	ST86	0.681818182	
Post-recitation_score_2016	Genie	Pair2_430	ST87	0.681818182	
