year	instruction	class	student	score
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST251	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST252	0.545454545
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST253	0.681818182
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST254	1
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST255	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST256	0.681818182
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST257	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST258	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST259	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST260	0.590909091
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST261	0.636363636
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST262	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST263	0.590909091
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST264	0.545454545
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST265	0.590909091
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST266	0.636363636
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST267	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST268	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST269	0.681818182
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST270	0.454545455
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST271	0.590909091
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST272	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST273	0.545454545
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST274	0.454545455
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST275	0.636363636
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST276	0.545454545
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST277	0.772727273
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST278	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST279	0.590909091
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST280	0.5
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST281	0.409090909
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST282	0.590909091
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST283	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST284	0.681818182
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST285	0.590909091
.Pre-recitation_score_2017	No_Genie	Pair2_430	ST286	1
Post-recitation_score_2017	No_Genie	Pair1_300	ST41	1
Post-recitation_score_2017	No_Genie	Pair1_300	ST42	0.772727273
Post-recitation_score_2017	No_Genie	Pair1_300	ST43	1
Post-recitation_score_2017	No_Genie	Pair1_300	ST44	0.590909091
Post-recitation_score_2017	No_Genie	Pair1_300	ST45	0.590909091
Post-recitation_score_2017	No_Genie	Pair1_300	ST46	0.909090909
Post-recitation_score_2017	No_Genie	Pair1_300	ST47	0.909090909
Post-recitation_score_2017	No_Genie	Pair1_300	ST48	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_300	ST49	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_300	ST50	0.772727273
Post-recitation_score_2017	No_Genie	Pair1_300	ST51	0.409090909
Post-recitation_score_2017	No_Genie	Pair1_300	ST52	0.863636364
Post-recitation_score_2017	No_Genie	Pair1_300	ST53	0.909090909
Post-recitation_score_2017	No_Genie	Pair1_300	ST54	0.909090909
Post-recitation_score_2017	No_Genie	Pair1_300	ST55	0.818181818
Post-recitation_score_2017	No_Genie	Pair1_300	ST56	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_300	ST57	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_300	ST58	0.909090909
Post-recitation_score_2017	No_Genie	Pair1_300	ST59	1
Post-recitation_score_2017	No_Genie	Pair1_300	ST60	1
Post-recitation_score_2017	No_Genie	Pair1_300	ST61	0.909090909
Post-recitation_score_2017	No_Genie	Pair1_300	ST62	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_300	ST63	0.818181818
Post-recitation_score_2017	No_Genie	Pair1_300	ST64	0.545454545
