year	instruction	class	student	score
Post-recitation_score_2017	Genie	Pair1_700	ST150	0.909090909
Post-recitation_score_2017	Genie	Pair1_700	ST151	0.818181818
Post-recitation_score_2017	Genie	Pair1_700	ST152	1
Post-recitation_score_2017	Genie	Pair1_700	ST153	1
Post-recitation_score_2017	Genie	Pair1_700	ST154	0.863636364
Post-recitation_score_2017	Genie	Pair1_700	ST155	1
Post-recitation_score_2017	Genie	Pair1_700	ST156	1
Post-recitation_score_2017	Genie	Pair1_700	ST157	0.909090909
Post-recitation_score_2017	Genie	Pair1_700	ST158	0.909090909
Post-recitation_score_2017	Genie	Pair1_700	ST159	0.727272727
Post-recitation_score_2017	Genie	Pair1_700	ST160	0.954545455
Post-recitation_score_2017	Genie	Pair1_700	ST161	0.909090909
Post-recitation_score_2017	Genie	Pair1_700	ST162	1
Post-recitation_score_2017	Genie	Pair2_130	ST163	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST164	0.590909091
Post-recitation_score_2017	Genie	Pair2_130	ST165	1
Post-recitation_score_2017	Genie	Pair2_130	ST166	0.863636364
Post-recitation_score_2017	Genie	Pair2_130	ST167	1
Post-recitation_score_2017	Genie	Pair2_130	ST168	1
Post-recitation_score_2017	Genie	Pair2_130	ST169	1
Post-recitation_score_2017	Genie	Pair2_130	ST170	0.863636364
Post-recitation_score_2017	Genie	Pair2_130	ST171	0.818181818
Post-recitation_score_2017	Genie	Pair2_130	ST172	0.909090909
Post-recitation_score_2017	Genie	Pair2_130	ST173	1
Post-recitation_score_2017	Genie	Pair2_130	ST174	1
Post-recitation_score_2017	Genie	Pair2_130	ST175	1
Post-recitation_score_2017	Genie	Pair2_130	ST176	0.909090909
Post-recitation_score_2017	Genie	Pair2_130	ST177	0.681818182
Post-recitation_score_2017	Genie	Pair2_130	ST178	0.818181818
Post-recitation_score_2017	Genie	Pair2_130	ST179	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST180	1
Post-recitation_score_2017	Genie	Pair2_130	ST181	1
Post-recitation_score_2017	Genie	Pair2_130	ST182	0.863636364
Post-recitation_score_2017	Genie	Pair2_130	ST183	1
Post-recitation_score_2017	Genie	Pair2_130	ST184	1
Post-recitation_score_2017	Genie	Pair2_130	ST185	1
Post-recitation_score_2017	Genie	Pair2_130	ST186	1
Post-recitation_score_2017	Genie	Pair2_130	ST187	0.818181818
Post-recitation_score_2017	Genie	Pair2_130	ST188	0.909090909
Post-recitation_score_2017	Genie	Pair2_130	ST189	0.909090909
Post-recitation_score_2017	Genie	Pair2_130	ST190	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST191	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST192	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST193	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST194	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST195	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST196	1
Post-recitation_score_2017	Genie	Pair2_130	ST197	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST198	1
Post-recitation_score_2017	Genie	Pair2_130	ST199	0.772727273
Post-recitation_score_2017	Genie	Pair2_130	ST200	1
Post-recitation_score_2017	Genie	Pair2_130	ST201	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST202	0.727272727
Post-recitation_score_2017	Genie	Pair2_130	ST203	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST204	0.727272727
Post-recitation_score_2017	Genie	Pair2_130	ST205	0.954545455
Post-recitation_score_2017	Genie	Pair2_130	ST206	0.909090909
Post-recitation_score_2017	Genie	Pair2_700	ST287	1
Post-recitation_score_2017	Genie	Pair2_700	ST288	0.772727273
Post-recitation_score_2017	Genie	Pair2_700	ST289	0.818181818
Post-recitation_score_2017	Genie	Pair2_700	ST290	0.909090909
Post-recitation_score_2017	Genie	Pair2_700	ST291	1
Post-recitation_score_2017	Genie	Pair2_700	ST292	0.772727273
Post-recitation_score_2017	Genie	Pair2_700	ST293	1
Post-recitation_score_2017	Genie	Pair2_700	ST294	0.818181818
Post-recitation_score_2017	Genie	Pair2_700	ST295	0.363636364
Post-recitation_score_2017	Genie	Pair2_700	ST296	0.181818182
Post-recitation_score_2017	Genie	Pair2_700	ST297	0.954545455
Post-recitation_score_2017	Genie	Pair2_700	ST298	0.909090909
Post-recitation_score_2017	Genie	Pair2_700	ST299	0.863636364
Post-recitation_score_2017	Genie	Pair2_700	ST300	0.409090909
Post-recitation_score_2017	Genie	Pair2_700	ST301	1
Post-recitation_score_2017	Genie	Pair2_700	ST302	0.909090909
Post-recitation_score_2017	Genie	Pair2_700	ST303	0.727272727
Post-recitation_score_2017	Genie	Pair2_700	ST304	0.954545455
Post-recitation_score_2017	Genie	Pair2_700	ST305	1
Post-recitation_score_2017	Genie	Pair2_700	ST306	1
Post-recitation_score_2017	Genie	Pair2_700	ST307	1
Post-recitation_score_2017	Genie	Pair2_700	ST308	0.818181818
Post-recitation_score_2017	Genie	Pair2_700	ST309	0.636363636
Post-recitation_score_2017	Genie	Pair2_700	ST310	1
Post-recitation_score_2017	Genie	Pair2_700	ST311	0.772727273
Post-recitation_score_2017	Genie	Pair2_700	ST312	0.454545455
Post-recitation_score_2017	Genie	Pair2_700	ST313	1
Post-recitation_score_2017	Genie	Pair2_700	ST314	0.818181818
Post-recitation_score_2017	Genie	Pair2_700	ST315	1
Post-recitation_score_2017	Genie	Pair2_700	ST316	0.818181818
Post-recitation_score_2017	Genie	Pair2_700	ST317	0.818181818
Post-recitation_score_2017	Genie	Pair2_700	ST318	0.590909091
Post-recitation_score_2017	Genie	Pair2_700	ST319	0.590909091
Post-recitation_score_2017	Genie	Pair2_700	ST320	1
Post-recitation_score_2017	Genie	Pair2_700	ST321	1
