Participant	time	First_Gen	Gender	Ethnicity	Genie_used	RecitationPair_Time	score
ST18	.pre_recitation	N	F	POC	No_Genie	Pair1_430	0.863636364
ST25	.pre_recitation	N	F	POC	No_Genie	Pair2_430	0.681818182
ST27	.pre_recitation	N	F	POC	No_Genie	Pair1_430	0.727272727
ST38	.pre_recitation	N	F	POC	No_Genie	Pair2_300	0.636363636
ST42	.pre_recitation	N	M	POC	No_Genie	Pair2_430	0.954545455
ST47	.pre_recitation	Y	F	POC	No_Genie	Pair1_300	0.590909091
ST49	.pre_recitation	N	F	POC	No_Genie	Pair1_430	0.272727273
ST61	.pre_recitation	N	M	POC	No_Genie	Pair1_430	0.727272727
ST83	.pre_recitation	N	M	POC	No_Genie	Pair1_430	0.727272727
ST99	.pre_recitation	N	M	POC	No_Genie	Pair2_300	0.5
ST102	.pre_recitation	N	M	POC	No_Genie	Pair1_430	1
ST110	.pre_recitation	N	F	POC	No_Genie	Pair1_300	0.5
ST165	.pre_recitation	N	F	POC	No_Genie	Pair2_300	0.909090909
ST174	.pre_recitation	N	M	POC	No_Genie	Pair2_300	0.363636364
ST177	.pre_recitation	N	F	POC	No_Genie	Pair2_300	0.590909091
ST183	.pre_recitation	N	M	POC	No_Genie	Pair1_430	0.818181818
ST186	.pre_recitation	N	M	POC	No_Genie	Pair2_300	0.727272727
ST191	.pre_recitation	N	M	POC	No_Genie	Pair1_300	0.772727273
ST213	.pre_recitation	N	F	POC	No_Genie	Pair2_300	0.818181818
ST217	.pre_recitation	N	F	POC	No_Genie	Pair2_430	0.909090909
ST4	post_recitation	N	F	POC	No_Genie	Pair2_430	0.772727273
ST6	post_recitation	N	F	POC	No_Genie	Pair1_300	1
ST10	post_recitation	Y	F	POC	No_Genie	Pair1_430	1
ST18	post_recitation	N	F	POC	No_Genie	Pair1_430	0.818181818
ST25	post_recitation	N	F	POC	No_Genie	Pair2_430	0.909090909
ST27	post_recitation	N	F	POC	No_Genie	Pair1_430	0.772727273
ST38	post_recitation	N	F	POC	No_Genie	Pair2_300	0.863636364
ST42	post_recitation	N	M	POC	No_Genie	Pair2_430	0.954545455
ST47	post_recitation	Y	F	POC	No_Genie	Pair1_300	0.590909091
ST49	post_recitation	N	F	POC	No_Genie	Pair1_430	0.409090909
ST61	post_recitation	N	M	POC	No_Genie	Pair1_430	0.863636364
ST83	post_recitation	N	M	POC	No_Genie	Pair1_430	0.818181818
ST99	post_recitation	N	M	POC	No_Genie	Pair2_300	0.818181818
