Participant	time	Gender	First_Gen	Bio340_at_ASU	Ethnicity	RecitationPair_Time	score
ST43	.pre_recitation	M	N	Y	W	Pair2_730	0.590909091
ST44	.pre_recitation	M	N	Y	W	Pair1_300	0.636363636
ST46	.pre_recitation	M	Y	Y	W	Pair2_600	0.545454545
ST48	.pre_recitation	F	N	Y	W	Pair1_430	0.5
ST50	.pre_recitation	F	N	Y	W	Pair2_300	0.409090909
ST52	.pre_recitation	F	N	Y	W	Pair2_730	0.454545455
ST54	.pre_recitation	M	Y	Y	W	Pair2_430	0.545454545
ST55	.pre_recitation	F	Y	Y	W	Pair1_730	0.636363636
ST57	.pre_recitation	F	N	N	W	Pair2_430	0.590909091
ST6	.pre_recitation	F	N	Y	W	Pair2_430	0.590909091
ST60	.pre_recitation	F	N	Y	W	Pair1_600	0.681818182
ST63	.pre_recitation	F	N	Y	W	Pair1_430	0.454545455
ST64	.pre_recitation	M	N	Y	W	Pair1_430	0.363636364
ST65	.pre_recitation	F	N	Y	W	Pair2_300	0.727272727
ST67	.pre_recitation	F	N	Y	W	Pair2_300	0.681818182
ST68	.pre_recitation	F	Y	Y	W	Pair1_430	0.454545455
ST69	.pre_recitation	F	N	Y	W	Pair2_600	0.545454545
ST71	.pre_recitation	M	N	Y	W	Pair2_730	0.590909091
ST72	.pre_recitation	F	N	Y	W	Pair1_730	0.636363636
ST73	.pre_recitation	F	N	Y	W	Pair2_730	0.636363636
ST77	.pre_recitation	F	N	Y	W	Pair2_600	0.681818182
ST78	.pre_recitation	M	N	Y	W	Pair1_600	0.590909091
ST8	.pre_recitation	F	N	Y	W	Pair1_430	0.636363636
ST81	.pre_recitation	F	N	N	W	Pair2_300	0.636363636
ST83	.pre_recitation	M	N	Y	W	Pair1_730	0.727272727
ST84	.pre_recitation	M	N	Y	W	Pair1_430	0.454545455
ST86	.pre_recitation	F	N	Y	W	Pair1_300	0.545454545
ST87	.pre_recitation	M	N	Y	W	Pair2_430	0.681818182
ST88	.pre_recitation	M	Y	Y	W	Pair1_430	0.545454545
ST89	.pre_recitation	F	N	Y	W	Pair2_300	0.590909091
ST9	.pre_recitation	F	N	Y	W	Pair1_430	0.590909091
ST90	.pre_recitation	F	N	Y	W	Pair1_300	0.590909091
ST91	.pre_recitation	M	N	Y	W	Pair2_430	0.454545455
ST92	.pre_recitation	F	N	Y	W	Pair1_600	0.636363636
ST94	.pre_recitation	F	N	Y	W	Pair2_300	0.772727273
ST95	.pre_recitation	M	N	Y	W	Pair2_430	0.636363636
ST96	.pre_recitation	M	N	Y	W	Pair2_730	0.727272727
ST98	.pre_recitation	F	N	Y	W	Pair1_300	0.5
ST99	.pre_recitation	F	Y	Y	W	Pair1_600	0.681818182
ST1	post_recitation	M	N	Y	W	Pair1_430	0.454545455
ST102	post_recitation	F	N	Y	W	Pair1_730	0.727272727
ST104	post_recitation	F	Y	Y	W	Pair1_600	0.727272727
ST106	post_recitation	M	N	Y	W	Pair2_600	0.727272727
ST11	post_recitation	F	Y	Y	W	Pair1_300	0.545454545
ST111	post_recitation	F	N	Y	W	Pair1_300	0.772727273
ST113	post_recitation	M	N	Y	W	Pair1_600	0.772727273
ST115	post_recitation	M	Y	Y	W	Pair2_430	0.772727273
ST116	post_recitation	M	Y	Y	W	Pair2_600	0.772727273
ST117	post_recitation	M	N	Y	W	Pair2_430	0.818181818
ST120	post_recitation	M	N	Y	W	Pair2_730	0.818181818
ST121	post_recitation	M	N	Y	W	Pair1_300	0.818181818
ST123	post_recitation	F	N	Y	W	Pair1_600	0.818181818
ST124	post_recitation	F	N	Y	W	Pair1_600	0.818181818
ST125	post_recitation	F	Y	Y	W	Pair2_300	0.818181818
ST127	post_recitation	F	Y	Y	W	Pair2_730	0.818181818
ST13	post_recitation	F	N	Y	W	Pair2_600	0.545454545
ST131	post_recitation	F	N	Y	W	Pair1_600	0.863636364
ST132	post_recitation	F	N	Y	W	Pair1_300	0.863636364
ST136	post_recitation	F	N	Y	W	Pair1_300	0.863636364
ST138	post_recitation	F	Y	Y	W	Pair2_430	0.863636364
ST140	post_recitation	M	N	Y	W	Pair1_600	0.863636364
ST141	post_recitation	M	N	Y	W	Pair1_430	0.863636364
ST144	post_recitation	M	N	Y	W	Pair1_430	0.863636364
ST145	post_recitation	F	N	Y	W	Pair2_430	0.909090909
ST147	post_recitation	F	N	Y	W	Pair1_430	0.909090909
ST148	post_recitation	M	Y	Y	W	Pair1_600	0.909090909
ST149	post_recitation	M	N	Y	W	Pair2_600	0.909090909
ST15	post_recitation	F	Y	Y	W	Pair1_300	0.545454545
ST150	post_recitation	F	N	Y	W	Pair2_600	0.909090909
ST151	post_recitation	F	N	Y	W	Pair1_600	0.909090909
ST152	post_recitation	F	Y	Y	W	Pair1_300	0.909090909
ST153	post_recitation	F	N	Y	W	Pair2_730	0.909090909
ST154	post_recitation	F	N	Y	W	Pair2_730	0.909090909
ST155	post_recitation	F	N	Y	W	Pair1_430	0.909090909
ST157	post_recitation	F	N	Y	W	Pair1_600	0.909090909
ST158	post_recitation	M	N	Y	W	Pair1_730	0.909090909
ST159	post_recitation	M	N	Y	W	Pair1_600	0.909090909
ST161	post_recitation	M	N	Y	W	Pair2_430	0.909090909
ST162	post_recitation	M	N	Y	W	Pair1_600	0.909090909
ST165	post_recitation	F	Y	Y	W	Pair1_600	0.954545455
ST167	post_recitation	M	N	Y	W	Pair2_430	0.954545455
ST168	post_recitation	M	N	Y	W	Pair2_430	0.954545455
ST169	post_recitation	M	N	Y	W	Pair1_730	0.954545455
ST170	post_recitation	M	N	Y	W	Pair2_300	0.954545455
ST171	post_recitation	M	N	Y	W	Pair1_300	0.954545455
ST173	post_recitation	F	N	Y	W	Pair1_600	0.954545455
ST175	post_recitation	F	N	Y	W	Pair1_300	0.954545455
ST176	post_recitation	F	N	Y	W	Pair2_300	0.954545455
ST177	post_recitation	F	N	Y	W	Pair2_730	0.954545455
ST178	post_recitation	F	Y	Y	W	Pair1_600	0.954545455
ST179	post_recitation	F	N	Y	W	Pair2_430	0.954545455
ST18	post_recitation	F	N	Y	W	Pair2_600	0.636363636
ST180	post_recitation	M	Y	Y	W	Pair1_300	0.954545455
ST182	post_recitation	M	N	Y	W	Pair2_430	0.954545455
ST186	post_recitation	F	N	Y	W	Pair1_300	1
ST187	post_recitation	F	N	Y	W	Pair2_300	1
ST188	post_recitation	M	N	Y	W	Pair1_430	1
ST189	post_recitation	M	N	Y	W	Pair1_300	1
ST19	post_recitation	F	N	Y	W	Pair1_430	0.636363636
ST190	post_recitation	F	N	Y	W	Pair2_430	1
ST193	post_recitation	F	N	Y	W	Pair2_300	1
ST194	post_recitation	F	N	Y	W	Pair2_300	1
ST195	post_recitation	F	Y	Y	W	Pair2_300	1
ST196	post_recitation	M	N	Y	W	Pair1_600	1
ST199	post_recitation	M	N	Y	W	Pair2_730	1
ST2	post_recitation	M	Y	Y	W	Pair2_600	0.454545455
ST200	post_recitation	M	N	Y	W	Pair2_600	1
ST201	post_recitation	M	N	Y	W	Pair2_300	1
ST22	post_recitation	F	N	Y	W	Pair2_430	0.818181818
ST23	post_recitation	M	N	Y	W	Pair1_300	0.363636364
ST24	post_recitation	F	N	Y	W	Pair2_430	0.409090909
ST3	post_recitation	M	N	Y	W	Pair2_430	0.5
ST30	post_recitation	M	N	Y	W	Pair2_300	0.545454545
ST32	post_recitation	F	N	Y	W	Pair1_730	0.590909091
ST34	post_recitation	F	N	Y	W	Pair1_300	0.590909091
ST35	post_recitation	M	N	Y	W	Pair1_430	0.590909091
ST36	post_recitation	F	N	Y	W	Pair2_430	0.681818182
ST39	post_recitation	F	N	Y	W	Pair2_300	0.727272727
ST40	post_recitation	F	N	Y	W	Pair2_600	0.772727273
ST43	post_recitation	M	N	Y	W	Pair2_730	0.818181818
ST44	post_recitation	M	N	Y	W	Pair1_300	0.909090909
ST46	post_recitation	M	Y	Y	W	Pair2_600	0.363636364
ST48	post_recitation	F	N	Y	W	Pair1_430	0.409090909
ST50	post_recitation	F	N	Y	W	Pair2_300	0.454545455
ST52	post_recitation	F	N	Y	W	Pair2_730	0.454545455
ST54	post_recitation	M	Y	Y	W	Pair2_430	0.5
ST55	post_recitation	F	Y	Y	W	Pair1_730	0.5
ST57	post_recitation	F	N	N	W	Pair2_430	0.5
